"CU_ID","Species","Stock","DataType","Year","SpnForAbd_Wild","SpnForTrend_Wild","RelLBM","AbsLBM","LongTrend","PercChange","ProbDeclBelowLBM","Percentile","RelUBM","AbsUBM","NumStdMetrics","Value","IntStatusRaw","IntStatusRaw_Short","IntStatus_Short","RapidStatus","BinLabel","BinPath","RapidScore","RelLBMCat","AbsLBMCat","LongTrendCat","PercChangeCat","ProbDeclBelowLBMCat","PercentileCat","RelUBMCat","AbsUBMCat","RelAbdCat","AbsAbdCat","RelAbd_LBM","RelAbd_UBM","SpnForAbd_Total","SpnForTrend_Total","ConfidenceRating5","ConfidenceRating3","ConfidenceRating2","IntStatus5","IntStatus3","IntStatus2"
"Case1","Chinook","CU1_Chinook","Abs_Abd",2016,6600,6600,1.73036138130137,23.621163216145,121,-40.1243,59.9667,NA,0.880302732312636,2.3621163216145,6,23621.163216145,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Amber","Green","Green","Red",NA,NA,"Amber","Green","Amber","Green",13651,26833,6600,6600,"High","High","Moderate",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2017,13091,13091,1.48444923116784,20.2642164546722,105,-55.5789,73.2333,NA,0.755197572193648,2.02642164546722,6,20264.2164546722,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Amber","Green","Green","Red",NA,NA,"Amber","Green","Amber","Green",13651,26833,13091,13091,"High","High","Moderate",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2018,17149,17149,1.15894627381941,15.8207755839088,82,-28.5798,52.7333,NA,0.589601445381014,1.58207755839088,6,15820.7755839088,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Amber","Green","Green","Red",NA,NA,"Amber","Green","Amber","Green",13651,26833,17149,17149,"High","High","Moderate",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2019,27824,27824,1.04382889375574,14.2493082286595,73,-21.9761,47.8,NA,0.53103671705212,1.42493082286595,6,14249.3082286595,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Amber","Green","Amber","Amber",NA,NA,"Amber","Green","Amber","Green",13651,26833,27824,27824,"High","High","Moderate",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2020,24139,24139,1.44352114198341,19.7055071092156,101,-27.3421,51.5667,NA,0.734375847248372,1.97055071092156,6,19705.5071092156,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Amber","Green","Green","Red",NA,NA,"Amber","Green","Amber","Green",13651,26833,24139,24139,"High","High","Moderate",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2021,30699,30699,1.78632715601914,24.3851520068173,124,-3.9886,38.6,NA,0.908774717952419,2.43851520068173,6,24385.1520068173,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Amber","Green","Green","Green",NA,NA,"Amber","Green","Amber","Green",13651,26833,30699,30699,"High","High","Moderate",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2022,35675,35675,2.14532105863285,29.285777771397,147,119.7371,6.9333,NA,1.09140900277259,2.9285777771397,6,29285.777771397,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Green","Green","Green",NA,NA,"Green","Green","Green","Green",13651,26833,35675,35675,"High","High","Moderate",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2023,84199,84199,2.82952892622137,38.625899371848,188,304.7459,1.6,NA,1.43949239264517,3.8625899371848,6,38625.899371848,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Green","Green","Green",NA,NA,"Green","Green","Green","Green",13651,26833,84199,84199,"High","High","High",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",1995,8202,8202,NA,NA,104,-31.9389,60.0333,NA,NA,NA,2,7695.60009356953,NA,NA,NA,"Amber","Node65","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend < 233",3,NA,NA,"Green","Red",NA,NA,NA,NA,NA,NA,21244,48317,8144,8144,"Low","Low","Moderate",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",1996,34238,34238,NA,NA,126,9.8152,23.6333,NA,NA,NA,2,9944.00090830677,NA,NA,NA,"Amber","Node65","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend < 233",3,NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,21244,48317,35041,35041,"Low","Low","Moderate",NA,NA,NA
